ubicacion;subUbicacion;clase;subclase;nombre;marca;modelo;estado;normativa;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Coccion;SARTEN VASCULANTE;OPPICI;9B150E60;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Lavado;LAVAVAJILLA;HOBART ;-;REGULAR;;;;1;industrial;0;4;0
CENTRAL TERMICA Y CLIMA ;CENTRAL TERMICA Y CLIMA [CS-XXX CENTRAL TERMICA];Apoyo industrial;Calorica;BOILER AGUA CALIENTE;MASTER;MV-4000R;BUENO;;;;1;industrial;0;4;0
CENTRAL TERMICA Y CLIMA ;CENTRAL TERMICA Y CLIMA [CS-XXX CENTRAL TERMICA];Apoyo industrial;Calorica;BOILER AGUA CALIENTE;MASTER;MV-4000R;BUENO;;;;1;industrial;0;4;0
CENTRAL TERMICA Y CLIMA ;CENTRAL TERMICA Y CLIMA [CS-XXX CENTRAL TERMICA];Apoyo industrial;Calorica;INTERCAMBIADOR DE CALOR;CIPRIANI;S125;BUENO;;;;1;industrial;0;4;0
CENTRAL TERMICA Y CLIMA ;CENTRAL TERMICA Y CLIMA [CS-XXX CENTRAL TERMICA];Apoyo industrial;Calorica;INTERCAMBIADOR DE CALOR;CIPRIANI;S125;BUENO;;;;1;industrial;0;4;0
FARMACIA AMBULATORIA;FARMACIA AMBULATORIA;Apoyo industrial;Calorica;AIRE ACONDICIONADO SPLIT;KHONE;KSMI-18BCI;BUENO;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;C. ALIMENTACION;Apoyo industrial;Calorica;HERVIDOR 28 LITROS;VENTUS;VHS-28;BUENO;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;C. ALIMENTACION;Apoyo industrial;Calorica;HERVIDOR 28 LITROS;VENTUS;VHS-28;BUENO;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;C. ALIMENTACION;Apoyo industrial;Calorica;HERVIDOR 28 LITROS;VENTUS;VHS-28;BUENO;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CORTA ESTADIA;Comunicaciones;Calorica;TELEVISOR;SAMSUNG;T5202;BUENO;;;;0;industrial;0;4;0
SALA CUNA;SALA CUNA;Comunicaciones;Calorica;TELEVISOR;SAMSUNG;T5202;BUENO;;;;0;industrial;0;4;0
CENTRAL ALIMENTACION;C. ALIMENTACION;Apoyo industrial;Calorica;CARRO ACERO;S/M;ST110-140;BUENO;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;C. ALIMENTACION;Apoyo industrial;Calorica;CARRO ACERO;S/M;ST110-140;BUENO;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;C. ALIMENTACION;Apoyo industrial;Calorica;CARRO ACERO;S/M;ST110-140;BUENO;;;;1;industrial;0;4;0
ESTERILIZACION ;ESTERILIZACION [C-027];Apoyo industrial;Secado;SECADOR;BELIMED;DC-2250;BUENO;;;;1;industrial;0;4;0
